Date,yhat
2025-08-10,155.85174058504364
2025-08-11,155.28107796013384
2025-08-12,154.72122122665755
2025-08-13,155.1506957104979
2025-08-14,155.1097615915102
2025-08-15,155.01092119556773
2025-08-16,155.74472517057998
2025-08-17,156.02869879240438
2025-08-18,156.04896584742954
2025-08-19,156.0859976218205
2025-08-20,157.10836071537773
2025-08-21,157.64663448648008
2025-08-22,158.1040937144512
2025-08-23,159.3626762415822
2025-08-24,160.13205379209776
2025-08-25,160.5913808358584
2025-08-26,161.01514696597349
2025-08-27,162.36700500064632
2025-08-28,163.1737446813233
2025-08-29,163.83600719814282
2025-08-30,165.2342605193044
2025-08-31,166.07785448328758
2025-09-01,166.54673179418603
2025-09-02,166.91722212539142
2025-09-03,168.15579368319317
2025-09-04,168.79293458271326
2025-09-05,169.23376201318288
2025-09-06,170.36388210370853
2025-09-07,170.8983224913006
2025-09-08,171.02311680279212
