Date,yhat
2025-08-10,161.05312096390855
2025-08-11,160.95055942684428
2025-08-12,160.78179896782098
2025-08-13,161.06929774538565
2025-08-14,161.10376995591133
2025-08-15,161.10350594690496
2025-08-16,161.52043387435248
2025-08-17,161.71668856856547
2025-08-18,161.78665943738665
2025-08-19,161.87085678210167
2025-08-20,162.4530908801498
2025-08-21,162.7979647652127
2025-08-22,163.10629948173732
2025-08-23,163.81814842352549
2025-08-24,164.28757688384184
2025-08-25,164.60342204634716
2025-08-26,164.9022649502719
2025-08-27,165.66536742952238
2025-08-28,166.15565896175542
2025-08-29,166.5730481547355
2025-08-30,167.35748670496469
2025-08-31,167.86332909711254
2025-09-01,168.18040172472973
2025-09-02,168.44666343085976
2025-09-03,169.145256765913
2025-09-04,169.54134186411054
2025-09-05,169.83742391430627
2025-09-06,170.4762373165027
2025-09-07,170.81537218315032
2025-09-08,170.94774614553668
