Date,yhat
2025-08-10,2936.416373441986
2025-08-11,2936.2904777857857
2025-08-12,2921.0974525218444
2025-08-13,2907.4346343287048
2025-08-14,2879.415289622453
2025-08-15,2851.3010932111993
2025-08-16,2828.7096866829984
2025-08-17,2799.252113469008
2025-08-18,2773.8481951069516
2025-08-19,2743.707997891729
2025-08-20,2722.1898051896787
2025-08-21,2691.181988752463
2025-08-22,2663.380623845573
2025-08-23,2643.306692038421
2025-08-24,2617.803159292166
2025-08-25,2597.2524238059077
2025-08-26,2572.4865393883383
2025-08-27,2556.5964878002455
2025-08-28,2531.2789951447626
2025-08-29,2509.09287567258
2025-08-30,2494.4605874292483
2025-08-31,2474.154576204555
2025-09-01,2458.508680416186
2025-09-02,2438.322874805494
2025-09-03,2426.6676482289727
2025-09-04,2405.232390390801
2025-09-05,2386.576727607685
2025-09-06,2375.1307614580924
2025-09-07,2357.681357697822
2025-09-08,2344.5813489298403
