Date,yhat
2025-08-10,2448.3698562589716
2025-08-11,2439.9649887746964
2025-08-12,2421.7920730124383
2025-08-13,2420.1951963917845
2025-08-14,2398.729993307406
2025-08-15,2382.669813375523
2025-08-16,2381.0038460222468
2025-08-17,2367.40925623489
2025-08-18,2362.670267167028
2025-08-19,2348.485087580333
2025-08-20,2351.0798056918575
2025-08-21,2333.897424770551
2025-08-22,2322.1059742536463
2025-08-23,2324.598247358092
2025-08-24,2314.9652053030823
2025-08-25,2313.9159804243154
2025-08-26,2303.085383464176
2025-08-27,2308.648053725491
2025-08-28,2294.00745318015
2025-08-29,2284.303671267035
2025-08-30,2288.4126299366217
2025-08-31,2279.9187715497346
2025-09-01,2279.534206535497
2025-09-02,2268.905271095363
2025-09-03,2274.2256773173203
2025-09-04,2258.9244975784763
2025-09-05,2248.17298646537
2025-09-06,2250.8828608068097
2025-09-07,2240.678145083144
2025-09-08,2238.3135767659305
