ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-11,608.1399661342233,-7715.509120524579,6575.666218899249,608.1399661342233,608.1399661342233,-1148.982342193552,-1148.982342193552,-1148.982342193552,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,76.84810752221935,76.84810752221935,76.84810752221935,1838.386843233916,1838.386843233916,1838.386843233916,0.0,0.0,0.0,-540.8423760593288
2017-01-12,646.5538188275284,-7244.90492265861,6779.694031620806,646.5538188275284,646.5538188275284,-1282.245860946812,-1282.245860946812,-1282.245860946812,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-15.36168091311173,-15.36168091311173,-15.36168091311173,1797.3331129159872,1797.3331129159872,1797.3331129159872,0.0,0.0,0.0,-635.6920421192835
2017-01-13,684.9676715208336,-8245.259364644646,6847.287657583986,684.9676715208336,684.9676715208336,-1329.9050834532015,-1329.9050834532015,-1329.9050834532015,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-12.273602212064372,-12.273602212064372,-12.273602212064372,1746.58581170855,1746.58581170855,1746.58581170855,0.0,0.0,0.0,-644.9374119323679
2017-01-14,723.3815242141388,-7706.117537412823,6657.677757077427,723.3815242141388,723.3815242141388,-1395.1643242156383,-1395.1643242156383,-1395.1643242156383,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-18.01495812399085,-18.01495812399085,-18.01495812399085,1687.0679268580398,1687.0679268580398,1687.0679268580398,0.0,0.0,0.0,-671.7828000014995
2017-01-15,761.7953769074438,-7934.284928978141,6054.913390074625,761.7953769074438,761.7953769074438,-1478.3733707198674,-1478.3733707198674,-1478.3733707198674,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-34.10832730290057,-34.10832730290057,-34.10832730290057,1619.9522495327208,1619.9522495327208,1619.9522495327208,0.0,0.0,0.0,-716.5779938124235
2017-01-16,800.209229600749,-8669.967072778862,6048.015797371168,800.209229600749,800.209229600749,-1488.4478199792334,-1488.4478199792334,-1488.4478199792334,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,29.131018962815983,29.131018962815983,29.131018962815983,1546.638454007638,1546.638454007638,1546.638454007638,0.0,0.0,0.0,-688.2385903784843
2017-01-17,838.623082294054,-7879.80736854713,6251.416476292689,838.623082294054,838.623082294054,-1621.7140885225522,-1621.7140885225522,-1621.7140885225522,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-26.22055793297957,-26.22055793297957,-26.22055793297957,1468.7237623601152,1468.7237623601152,1468.7237623601152,0.0,0.0,0.0,-783.0910062284981
2017-01-18,877.0369349873592,-7835.001337860576,6338.781162094493,877.0369349873592,877.0369349873592,-1599.401326928952,-1599.401326928952,-1599.401326928952,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,76.84810752230541,76.84810752230541,76.84810752230541,1387.96785849843,1387.96785849843,1387.96785849843,0.0,0.0,0.0,-722.3643919415927
2017-01-19,915.4507876806645,-8101.894871736644,5889.94576468578,915.4507876806645,915.4507876806645,-1773.3260911832488,-1773.3260911832488,-1773.3260911832488,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-15.361680913093517,-15.361680913093517,-15.361680913093517,1306.2528826795321,1306.2528826795321,1306.2528826795321,0.0,0.0,0.0,-857.8753035025843
2017-01-20,953.8646403739696,-8351.226707356198,6096.38892850241,953.8646403739696,953.8646403739696,-1850.9514106488825,-1850.9514106488825,-1850.9514106488825,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-12.273602211855698,-12.273602211855698,-12.273602211855698,1225.5394845126607,1225.5394845126607,1225.5394845126607,0.0,0.0,0.0,-897.086770274913
2017-01-21,992.2784930672748,-8253.409429927466,5966.019682108431,992.2784930672748,992.2784930672748,-1934.4122166461311,-1934.4122166461311,-1934.4122166461311,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-18.01495812364183,-18.01495812364183,-18.01495812364183,1147.820034427198,1147.820034427198,1147.820034427198,0.0,0.0,0.0,-942.1337235788563
2017-01-22,1030.6923457605797,-7972.651155688323,5912.254552047477,1030.6923457605797,1030.6923457605797,-2023.2554333080577,-2023.2554333080577,-2023.2554333080577,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-34.108327303481765,-34.108327303481765,-34.108327303481765,1075.0701869451113,1075.0701869451113,1075.0701869451113,0.0,0.0,0.0,-992.5630875474781
2017-01-23,1069.1061984538849,-8252.109795431066,6042.403119010918,1069.1061984538849,1069.1061984538849,-2025.8862230579787,-2025.8862230579787,-2025.8862230579787,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,29.131018962857524,29.131018962857524,29.131018962857524,1009.200050928851,1009.200050928851,1009.200050928851,0.0,0.0,0.0,-956.7800246040938
2017-01-24,1107.5200511471903,-7984.7016358751225,6100.037522251748,1107.5200511471903,1107.5200511471903,-2138.431600757491,-2138.431600757491,-2138.431600757491,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-26.22055793296132,-26.22055793296132,-26.22055793296132,952.0062501251574,952.0062501251574,952.0062501251574,0.0,0.0,0.0,-1030.9115496103009
2017-01-25,1145.9339038404953,-8012.67521887823,5999.970461892134,1145.9339038404953,1145.9339038404953,-2082.243034798288,-2082.243034798288,-2082.243034798288,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,76.84810752239149,76.84810752239149,76.84810752239149,905.126150629008,905.126150629008,905.126150629008,0.0,0.0,0.0,-936.3091309577928
2017-01-26,1184.3477565338005,-8042.423708396585,5950.721072250611,1184.3477565338005,1184.3477565338005,-2209.5834837337998,-2209.5834837337998,-2209.5834837337998,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-15.361680913208257,-15.361680913208257,-15.361680913208257,869.995490129096,869.995490129096,869.995490129096,0.0,0.0,0.0,-1025.2357271999992
2017-01-27,1222.7616092271057,-7769.834990185059,6169.991674555561,1222.7616092271057,1222.7616092271057,-2228.680327430865,-2228.680327430865,-2228.680327430865,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-12.273602211894717,-12.273602211894717,-12.273602211894717,847.8105677307171,847.8105677307171,847.8105677307171,0.0,0.0,0.0,-1005.9187182037592
2017-01-28,1261.175461920411,-8392.86232415211,6608.5282224785215,1261.175461920411,1261.175461920411,-2242.736206563595,-2242.736206563595,-2242.736206563595,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-18.01495812386261,-18.01495812386261,-18.01495812386261,839.4960445099551,839.4960445099551,839.4960445099551,0.0,0.0,0.0,-981.5607446431839
2017-01-29,1299.589314613716,-7383.65509503897,6242.275199584637,1299.589314613716,1299.589314613716,-2252.6463538444923,-2252.6463538444923,-2252.6463538444923,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-34.10832730328271,-34.10832730328271,-34.10832730328271,845.6792664084776,845.6792664084776,845.6792664084776,0.0,0.0,0.0,-953.0570392307764
2017-01-30,1338.0031673070212,-7870.881034292466,5862.125478307558,1338.0031673070212,1338.0031673070212,-2168.4144178416445,-2168.4144178416445,-2168.4144178416445,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,29.13101896289908,29.13101896289908,29.13101896289908,866.6718561451436,866.6718561451436,866.6718561451436,0.0,0.0,0.0,-830.4112505346234
2017-01-31,1376.4170200003261,-7733.459298049347,5402.30483630688,1376.4170200003261,1376.4170200003261,-2187.978717075657,-2187.978717075657,-2187.978717075657,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-26.22055793291887,-26.22055793291887,-26.22055793291887,902.4591338069492,902.4591338069492,902.4591338069492,0.0,0.0,0.0,-811.561697075331
2017-02-01,1414.8308726936311,-7726.519248971157,6416.212600652917,1414.8308726936311,1414.8308726936311,-2034.6714637910702,-2034.6714637910702,-2034.6714637910702,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,76.84810752225447,76.84810752225447,76.84810752225447,952.6977216363623,952.6977216363623,952.6977216363623,0.0,0.0,0.0,-619.8405910974391
