Date,Close,High,Low,Open,Volume,MA7,MA30,RSI14,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower,ATR14
,,,,,,,,,,,,,,
2020-01-01,7200.17431640625,7254.33056640625,7174.9443359375,7194.89208984375,18565664997.0,,,,0.0,0.0,,,,
2020-01-02,6985.47021484375,7212.1552734375,6935.27001953125,7202.55126953125,20802083465.0,,,,-17.127392717236035,-3.4254785434472073,,,,
2020-01-03,7344.88427734375,7413.71533203125,6914.99609375,6984.4287109375,28111481032.0,,,,-1.679898917724131,-3.0763626183025923,,,,
2020-01-04,7410.65673828125,7427.3857421875,7309.51416015625,7345.37548828125,18444271275.0,,,,15.688788537509026,0.6766676128597311,,,,
2020-01-05,7411.3173828125,7544.4970703125,7400.53564453125,7410.45166015625,19725074095.0,,,,29.170645924727978,6.375463275233381,,,,
2020-01-06,7769.21923828125,7781.8671875,7409.29296875,7410.4521484375,23276261598.0,,,,67.95150105552966,18.69067083129264,,,,
2020-01-07,8163.6923828125,8178.2158203125,7768.2275390625,7768.68212890625,28767291327.0,7469.344935825893,,,129.02892898608116,40.75832246225034,,,,
2020-01-08,8079.86279296875,8396.73828125,7956.7744140625,8161.935546875,31672559265.0,7595.014718191965,,,168.72393881323842,66.35144573244796,,,,
2020-01-09,7879.0712890625,8082.2958984375,7842.40380859375,8082.2958984375,24045990466.0,7722.672014508928,,,181.88368194098803,89.45789297415598,,,,
2020-01-10,8166.55419921875,8166.55419921875,7726.77490234375,7878.3076171875,28714583844.0,7840.053431919643,,,213.05438312828846,114.17719100498249,,,,
2020-01-11,8037.53759765625,8218.359375,8029.64208984375,8162.19091796875,25521165085.0,7929.607840401785,,,224.75597985263175,136.29294877451235,,,,
2020-01-12,8192.494140625,8200.0634765625,8009.05908203125,8033.26171875,22903438381.0,8041.204520089285,,,243.72378151334033,157.77911532227796,,,,
2020-01-13,8144.1943359375,8197.7880859375,8079.70068359375,8189.77197265625,22482910688.0,8094.772391183035,,70.54626507770554,251.95413991616533,176.61412024105545,,,,
2020-01-14,8827.7646484375,8879.51171875,8140.93310546875,8140.93310546875,44841784107.0,8189.639857700893,,77.30055993378357,310.06097966292236,203.30349212542882,,,,303.95779854910717
2020-01-15,8807.0107421875,8890.1171875,8657.1875,8825.34375,40102834650.0,8293.518136160714,,76.76608701692263,350.3972407361616,232.7222418475754,,,,314.92518833705356
2020-01-16,8723.7861328125,8846.4609375,8612.095703125,8812.4814453125,31313981931.0,8414.191685267857,,80.28268836179538,371.3675933563791,260.45131214933616,,,,311.88804408482144
2020-01-17,8929.0380859375,8958.1220703125,8677.31640625,8725.2099609375,36372139320.0,8523.117954799107,,79.16351376642092,399.9386226573315,288.34877425093526,,,,296.32278878348217
2020-01-18,8942.80859375,9012.1982421875,8827.33203125,8927.2119140625,32337772627.0,8652.4423828125,,78.7567778301376,418.8641291698168,314.4518452347116,,,,301.10811941964283
2020-01-19,8706.2451171875,9164.3623046875,8620.080078125,8941.4453125,34217320471.0,8725.835379464286,,72.32721240457938,410.0472642994573,333.57092904766074,,,,329.7024623325893
2020-01-20,8657.642578125,8745.5908203125,8560.4736328125,8704.6318359375,26422375678.0,8799.185128348214,,67.14714081910492,394.5894352672749,345.7746302915836,8118.971240234375,9353.612709963721,6884.329770505028,316.3126743861607
2020-01-21,8745.89453125,8755.7060546875,8544.5205078125,8658.9912109375,24097418512.0,8787.48939732143,,62.74318770891304,385.02189669912696,353.62408357309226,8196.257250976563,9381.250733582345,7011.263768370782,302.1124790736607
2020-01-22,8680.8759765625,8792.994140625,8636.7470703125,8744.2109375,22600204051.0,8769.470145089286,,63.26414801145811,367.9515826698207,356.48958339243796,8281.0275390625,9336.851029904366,7225.204048220633,281.8469935825893
