Date,yhat
2025-08-10,0.22194840330624954
2025-08-11,0.22359409894165416
2025-08-12,0.22484516953301653
2025-08-13,0.22624845534757482
2025-08-14,0.22723778095452113
2025-08-15,0.22905508756638954
2025-08-16,0.23018043599643911
2025-08-17,0.2311235703093189
2025-08-18,0.23175131203064242
2025-08-19,0.23239436864314705
2025-08-20,0.23335113842033395
2025-08-21,0.23393605429242825
2025-08-22,0.23533635413830536
2025-08-23,0.23600986291975132
2025-08-24,0.23646063181784865
2025-08-25,0.23655815465349334
2025-08-26,0.2366401663795898
2025-08-27,0.23701445078197123
2025-08-28,0.23700592513584212
2025-08-29,0.2378127771601324
2025-08-30,0.23790380765874278
2025-08-31,0.23779377959152906
2025-09-01,0.2373622556824847
2025-09-02,0.23695627206015246
2025-09-03,0.2368917977355306
2025-09-04,0.23650073823488968
2025-09-05,0.23698686183133663
2025-09-06,0.23682307441551867
2025-09-07,0.23652654158108843
2025-09-08,0.23597773072139555
